h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.176816227,0.180457368,0.213063949,0.0,0.545963323,0.574812285,0.574762849,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.431221692,0.59367922,0.806469522,0.999012256,1.0,1.0,1.0,1.0,1.0,0.983445507
0.001966974,0.0,0.10662254,0.45139398,0.524106015,0.657110773,0.449735983,0.481512314,0.484074569,0.483252749,0.478201436,0.481268512,0.482415524,0.478166099,0.815189839,0.999662581,1.0,1.0,0.999266981,0.738905037,0.366007536,0.131469981,0.003159427
0.001266123,0.0,0.073047285,0.343197182,0.473564831,0.481644297,0.475204712,0.479332327,0.481585428,0.481434039,0.483853895,0.486105068,0.46607571,0.434123971,0.72610524,0.969714843,1.0,1.0,0.999746524,0.719015743,0.408498484,0.308535526,0.133789949
0.178354688,0.179821245,0.239672783,0.470655623,0.570200049,0.573487201,0.567799164,0.562559349,0.561094034,0.570336546,0.571977994,0.547035055,0.524300008,0.530602586,0.762924575,0.928556083,1.0,1.0,1.0,0.999287363,0.78873834,0.509695974,0.0
0.175709622,0.18005186,0.192687019,0.0,0.547112567,0.561914985,0.54905711,0.567502709,0.560693957,0.574962256,0.569204189,0.553162697,0.531786322,0.506397993,0.78596638,0.997656591,1.0,1.0,1.0,1.0,1.0,0.99916862,0.803219243
0.465080434,0.226639145,0.180682136,0.177559297,0.176816055,0.0,0.569240131,0.529099816,0.577024077,0.574697589,0.575856969,0.574956586,0.574156751,0.57609806,0.788551766,0.862443384,0.997743017,0.997746073,0.999867592,1.0,1.0,1.0,1.0
0.178900156,0.173618124,0.261752016,0.511128693,0.709924493,0.71870282,0.566759362,0.574522699,0.577435906,0.575555736,0.574235044,0.576730177,0.556786843,0.57087892,0.794211489,0.995466405,1.0,1.0,1.0,0.785167474,0.488079183,0.0,0.250279864
0.180673571,0.181243323,0.190786242,0.0,0.489441758,0.57135138,0.549373022,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.447132639,0.625695393,0.776322699,0.987076951,1.0,1.0,1.0,1.0,1.0,0.996989398
0.001719533,0.0,0.075889451,0.332941277,0.467463234,0.477754388,0.479741916,0.482123618,0.484372989,0.483431917,0.483039894,0.481732261,0.392415992,0.431335602,0.583065854,0.812300712,0.999609011,1.0,1.0,0.948950351,0.573322308,0.439908687,0.131648175
0.431221692,0.263226161,0.181085151,0.178361432,0.168772552,0.0,0.574962256,0.50425179,0.573662637,0.575125117,0.576250987,0.57456606,0.568370844,0.561278696,0.749243074,0.870266005,1.0,1.0,1.0,1.0,1.0,1.0,0.974697174
0.169596324,0.185681374,0.201246812,0.0,0.544127481,0.553027,0.570766507,0.567578085,0.565581364,0.565895855,0.558313652,0.572549609,0.0,0.441367323,0.740351733,0.857402266,0.999925612,1.0,1.0,1.0,1.0,1.0,1.0
0.181306451,0.180744154,0.246398501,0.520073994,0.56826612,0.57844377,0.569572167,0.572310108,0.569296983,0.572450474,0.57472986,0.576264561,0.50697999,0.560873663,0.78093522,0.864324517,1.0,1.0,1.0,0.974416655,0.716472974,0.0,0.287481128
0.179440595,0.179911065,0.232203038,0.455561587,0.573697674,0.575351317,0.574338129,0.572581056,0.572937033,0.574886156,0.574213497,0.569469442,0.537211437,0.500096629,0.781951636,0.896435173,1.0,1.0,1.0,0.999992501,0.792106788,0.456842171,0.0
0.004527826,0.0,0.128690256,0.445329345,0.495422365,0.658555574,0.475225625,0.481943538,0.482056047,0.486980857,0.485741248,0.481073668,0.483843901,0.677903197,0.859337789,1.0,1.0,1.0,0.998045639,0.685018312,0.371805746,0.135129628,0.01273932
0.181072246,0.17991837,0.262131778,0.489382873,0.574956041,0.572148073,0.565794144,0.572753792,0.571545186,0.570281553,0.574109685,0.571875652,0.574694195,0.576077752,0.807799192,0.997248701,1.0,1.0,0.998911241,0.800288133,0.492274581,0.0,0.204893581
0.000149975,0.0,0.077955959,0.351142547,0.470709987,0.47936331,0.482677334,0.481247398,0.484552378,0.482910994,0.482066757,0.47306385,0.457919017,0.373414179,0.738147783,0.972408377,1.0,1.0,1.0,0.996371766,0.709764898,0.312330453,0.130660214
0.455077786,0.2521111,0.181101698,0.178253459,0.160311611,0.0,0.525136952,0.543457327,0.573093342,0.592499882,0.581593793,0.573834745,0.575063545,0.575483476,0.717699035,0.862443384,1.0,1.0,1.0,1.0,1.0,1.0,0.985562522
0.437557349,0.247280865,0.181582411,0.176786195,0.198985721,0.0,0.478714998,0.566229859,0.575725404,0.571996338,0.574707257,0.57545383,0.533788235,0.561745137,0.569689405,0.825059766,0.853515123,0.763224756,0.87167189,0.999897003,1.0,1.0,0.998389974
0.0,0.001660291,0.058731391,0.318050494,0.473343968,0.482657606,0.481287638,0.477088532,0.459729957,0.477244432,0.472726648,0.422066482,0.474692638,0.339424024,0.673857103,0.753013782,0.999729056,1.0,1.0,1.0,0.971190965,0.422214487,0.325793265
0.837294301,0.148212501,0.023131715,0.008193023,0.0,0.320048532,0.505838173,0.725061609,0.968916758,0.99800542,0.982929258,0.935444407,0.858233454,0.835556627,0.993436936,1.0,1.0,0.999999934,0.990966352,0.735580907,0.349119662,0.148212501,0.027559897
0.180275753,0.180463803,0.23209947,0.450762736,0.550414269,0.55901096,0.564701863,0.56822851,0.55996134,0.544593772,0.553527424,0.520930478,0.0,0.44771307,0.593099953,0.796973404,0.976873085,1.0,1.0,1.0,0.82863483,0.463998105,0.0
0.178594954,0.176858086,0.254536686,0.522941564,0.619905489,0.655859649,0.566110614,0.576699102,0.576992749,0.576517956,0.576413951,0.575090524,0.507565232,0.569087702,0.79285181,0.983572352,1.0,1.0,1.0,0.999807728,0.75161851,0.431221692,0.0
0.431221692,0.245731105,0.181177645,0.176829159,0.184360001,0.0,0.0,0.563362982,0.55468874,0.574958377,0.575015896,0.571659604,0.557562228,0.533938299,0.570354638,0.734188787,0.732457142,0.770300758,0.862443384,0.997979445,1.0,1.0,0.998254786
0.72538107,0.0,0.19995911,0.163593004,0.179634716,0.0,0.51091131,0.727663209,0.776976255,0.782281189,0.745642548,0.73067645,0.730550588,0.735490919,0.859954411,1.0,0.863216108,0.761775827,0.556495995,0.50800171,0.0,0.292183161,0.221250613
0.176726317,0.172259764,0.274147899,0.542722636,0.614289471,0.71870282,0.559009321,0.574863412,0.576492637,0.574333663,0.568483084,0.574594322,0.574447486,0.621304677,0.862443384,0.999639832,1.0,1.0,1.0,0.831814832,0.47654094,0.0,0.278724134
